ID,campaign,wp_md,wp_pd,plot,date,rounded_time,height_m,dbh_2023_cm,diameter_m,crown_area_m2,crown_volume_m3,wind_problems,time,vpd16m,vpd42m,size_class
Control_211,May-23,-0.608333333,-0.078333333,Control,25/05/2023,25/05/2023 13:00,22.47725034,29.9211293,0.311562354,23.78889157,119.1942768,FALSE,25/05/2023 13:00,1.197202067,1.457526091,Subcanopy
Control_322,Jul-23,-0.606666667,-0.183333333,Control,13/07/2023,13/07/2023 14:00,26.70399976,26.41972055,0.24575698,50.00932,235.1934178,FALSE,13/07/2023 14:00,0.973053272,1.298836049,Subcanopy
TFE_211,May-24,-0.583333333,-0.197,TFE,28/05/2024,28/05/2024 12:00,24.54899979,29.28450953,0.294218233,36.96572467,219.1200545,FALSE,28/05/2024 12:00,0.622343994,0.286097324,Subcanopy
TFE_121.1,May-24,-0.577333333,-0.212333333,TFE,27/05/2024,27/05/2024 13:00,15.55624962,14.96056465,0.204422035,23.12161109,69.45099341,FALSE,27/05/2024 13:00,1.063343721,0.735961157,Subcanopy
TFE_214.3,May-23,-0.576666667,-0.07,TFE,30/05/2023,30/05/2023 12:00,11.04524994,13.36901522,0.184842731,8.71632214,16.22435103,FALSE,30/05/2023 12:00,0.767227892,1.067943306,Subcanopy
Control_218,May-23,-0.56,-0.07,Control,29/05/2023,29/05/2023 14:00,31.59500074,29.44366447,0.28632666,41.73885453,200.467685,FALSE,29/05/2023 14:00,0.741118213,1.101647345,Subcanopy
TFE_78,May-24,-0.559666667,-0.178,TFE,28/05/2024,28/05/2024 13:00,26.21074867,NA,0.261152781,41.06460661,97.23915635,FALSE,28/05/2024 13:00,0.754405572,0.541860045,NA
TFE_168,Oct-23,-0.548333333,-0.227222222,TFE,10/10/2023,10/10/2023 14:00,27.17225075,37.24225668,0.382537192,73.95437635,395.713524,FALSE,10/10/2023 14:00,2.031484729,2.113309735,Emergent
Control_394,May-23,-0.54,-0.07,Control,30/05/2023,30/05/2023 14:00,NA,0,NA,NA,NA,NA,30/05/2023 14:00,1.037255905,1.424623243,Subcanopy
Control_204,Jul-23,-0.535333333,-0.076666667,Control,13/07/2023,13/07/2023 13:00,31.78474832,52.83944111,0.507074208,100.9321944,551.3281761,FALSE,13/07/2023 13:00,0.756509806,1.008010169,Emergent
TFE_205,Feb-24,-0.526666667,-0.143333333,TFE,22/02/2024,22/02/2024 12:00,18.80849838,29.60281942,0.272970501,5.97779547,9.892845109,FALSE,22/02/2024 12:00,1.262228107,1.459456968,Subcanopy
Control_204,May-24,-0.516,-0.259,Control,27/05/2024,27/05/2024 12:00,31.78474832,52.83944111,0.507074208,100.9321944,551.3281761,FALSE,27/05/2024 12:00,0.877905958,0.436707843,Emergent
Control_204,Feb-24,-0.506666667,-0.1,Control,21/02/2024,21/02/2024 12:00,31.78474832,52.83944111,0.507074208,100.9321944,551.3281761,FALSE,21/02/2024 12:00,0.576732119,0.237413651,Emergent
Control_252,May-23,-0.481666667,-0.07,Control,30/05/2023,30/05/2023 14:00,36.68799996,106.9521218,1.024587987,264.6863763,1446.539252,FALSE,30/05/2023 14:00,1.037255905,1.424623243,Emergent
TFE_121.1,May-23,-0.48,-0.096666667,TFE,25/05/2023,25/05/2023 11:00,15.55624962,14.96056465,0.204422035,23.12161109,69.45099341,FALSE,25/05/2023 11:00,0.700882169,1.114908548,Subcanopy
Control_313,Oct-23,-0.461666667,-0.114833333,Control,11/10/2023,11/10/2023 12:00,27.08074951,22.44084698,0.227863043,48.02824972,288.3456931,FALSE,11/10/2023 12:00,1.46906227,1.562696396,Subcanopy
Control_211,May-24,-0.452666667,-0.168333333,Control,27/05/2024,27/05/2024 13:00,22.47725034,29.9211293,0.311562354,23.78889157,119.1942768,FALSE,27/05/2024 13:00,1.063343721,0.735961157,Subcanopy
