plot,date,absolute_wc_0_50cm_l_m2,absolute_wc_50_100cm_l_m2,absolute_wc_100_250cm_l_m2,absolute_wc_250_400cm_l_m2,absolute_wc_0_400cm_l_m2,ew_0_400_cm,carbon_biomass_MgC_ha,lower_95ci_carbon_biomass_MgC_ha,upper_95ci_carbon_biomass_MgC_ha,wc_per_biomass_mm_MgC,lower_95ci_wc_per_biomass_mm_MgC,upper_95ci_wc_per_biomass_mm_MgC
Control,2023-01-14,133.20577916666662,120.29166666666666,414.41742187499995,322.86787187500005,990.7827395833332,0.772293187227712,256.5877988302881,233.1501653256598,279.8730728005987,3.8613790059388413,4.249547660407731,3.5401145586064886
Control,2023-01-15,153.53591666666665,137.57441458333332,456.100596875,340.0334125,1087.244340625,0.9159768685567372,256.5877988302881,233.1501653256598,279.8730728005987,4.237318943384847,4.663279303732671,3.884776515815901
Control,2023-01-16,143.42412395833333,136.64741145833332,444.56100625,350.933690625,1075.566232291667,0.8985818266107954,256.5877988302881,233.1501653256598,279.8730728005987,4.191805834863825,4.613190948371561,3.8430500709797686
Control,2023-01-17,139.02352291666665,132.0869822916667,438.263778125,344.093046875,1053.4673302083334,0.8656645665780551,256.5877988302881,233.1501653256598,279.8730728005987,4.105679751768385,4.518406962040408,3.7640896270106614
Control,2023-01-18,146.06661562499997,131.41570416666667,448.0132937500001,341.50383125,1066.9994447916667,0.8858212301468017,256.5877988302881,233.1501653256598,279.8730728005987,4.158418481532709,4.576447300825636,3.8124405256802687
Control,2023-01-19,153.8449177083333,140.25952708333335,464.1879,353.363078125,1111.6554229166668,0.9523382199236652,256.5877988302881,233.1501653256598,279.8730728005987,4.332456289754979,4.767980418816891,3.971998491289973
Control,2023-01-20,146.47151354166664,137.691621875,454.502315625,353.71470000000005,1092.3801510416667,0.923626877879679,256.5877988302881,233.1501653256598,279.8730728005987,4.2573347447599685,4.685307211838562,3.903127014366099
Control,2023-01-21,141.31439270833334,133.44019374999996,447.981328125,348.568234375,1071.3041489583334,0.8922332711560722,256.5877988302881,233.1501653256598,279.8730728005987,4.175195211316006,4.594910526706922,3.82782144147753
Control,2023-01-22,138.08586458333332,130.31821770833332,441.716065625,344.95611875,1055.0762666666665,0.8680611462622129,256.5877988302881,233.1501653256598,279.8730728005987,4.111950262157685,4.525307821218808,3.7698384346477556
Control,2023-01-23,135.86958124999998,127.910140625,436.313875,341.88741875000005,1041.981015625,0.8485552096275758,256.5877988302881,233.1501653256598,279.8730728005987,4.060914121307014,4.469141225654206,3.723048470502129
